index,,,depart_time,depart_weekday,duration,arrival_time,arrival_weekday,flight_no,airline_code,airline,economy_fare,business_fare,first_fare
246,,,12:00:00,2,1:54:00,13:54:00,2,DL1677,DL,Delta Airlines,54404,,
247,,,12:00:00,1,1:54:00,13:54:00,1,DL1677,DL,Delta Airlines,54404,,
248,,,8:34:00,0,1:59:00,10:33:00,0,DL715,DL,Delta Airlines,54404,,
249,,,18:10:00,6,14:35:00,8:45:00,0,VS3884,VS,Virgin Atlantic,104234,,
250,,,18:10:00,0,14:35:00,8:45:00,1,VS3884,VS,Virgin Atlantic,104234,,551746
251,,,18:10:00,2,14:35:00,8:45:00,3,VS3884,VS,Virgin Atlantic,104234,,734230
252,,,18:10:00,5,14:35:00,8:45:00,6,VS3884,VS,Virgin Atlantic,109516,,
253,,,18:10:00,1,14:35:00,8:45:00,2,DL108,DL,Delta Airlines,160647,,530527
254,,,18:10:00,0,14:35:00,8:45:00,1,DL108,DL,Delta Airlines,160673,,611701
255,,,18:10:00,2,14:35:00,8:45:00,3,DL108,DL,Delta Airlines,160673,,530527
256,,,18:10:00,6,14:35:00,8:45:00,0,DL108,DL,Delta Airlines,160673,454987,
257,,,18:10:00,1,14:35:00,8:45:00,2,VS3884,VS,Virgin Atlantic,160673,,
258,,,18:10:00,4,14:35:00,8:45:00,5,VS3884,VS,Virgin Atlantic,164465,,746961
259,,,18:10:00,3,14:35:00,8:45:00,4,VS3884,VS,Virgin Atlantic,164465,,746961
260,,,18:10:00,5,14:35:00,8:45:00,6,DL108,DL,Delta Airlines,164465,,
261,,,18:10:00,3,14:35:00,8:45:00,4,DL108,DL,Delta Airlines,164465,,
262,,,18:10:00,4,14:35:00,8:45:00,5,DL108,DL,Delta Airlines,164465,,738474
263,,,18:10:00,0,14:35:00,8:45:00,1,KL6028,KL,KLM,168197,,
264,,,18:10:00,0,14:35:00,8:45:00,1,AF3585,AF,Air France,168197,,
265,,,18:10:00,1,14:35:00,8:45:00,2,KL6028,KL,KLM,168794,,
266,,,18:10:00,6,14:35:00,8:45:00,0,AF3585,AF,Air France,168794,,
267,,,18:10:00,1,14:35:00,8:45:00,2,AF3585,AF,Air France,168794,,
268,,,18:10:00,4,14:35:00,8:45:00,5,KL6028,KL,KLM,172744,,
269,,,18:10:00,3,14:35:00,8:45:00,4,AF3585,AF,Air France,172744,,
270,,,18:10:00,4,14:35:00,8:45:00,5,AF3585,AF,Air France,172744,,
271,,,18:10:00,5,14:35:00,8:45:00,6,AF3585,AF,Air France,172744,,
272,,,18:10:00,3,14:35:00,8:45:00,4,KL6028,KL,KLM,172744,,
273,,,18:10:00,5,14:35:00,8:45:00,6,KL6028,KL,KLM,172744,,
274,,,5:50:00,6,1:15:00,7:05:00,6,NK805,NK,Spirit Airlines,13947,,
275,,,21:51:00,4,1:24:00,23:15:00,4,F92001,F9,Frontier Airlines,13984,,
276,,,22:16:00,6,1:27:00,23:43:00,6,F92001,F9,Frontier Airlines,13984,,
277,,,22:10:00,3,1:27:00,23:37:00,3,F92001,F9,Frontier Airlines,13984,,
278,,,20:16:00,5,1:28:00,21:44:00,5,F92001,F9,Frontier Airlines,13984,,
279,,,5:50:00,5,1:15:00,7:05:00,5,NK805,NK,Spirit Airlines,18428,,
280,,,10:09:00,3,1:18:00,11:27:00,3,NK1361,NK,Spirit Airlines,18428,,
281,,,10:09:00,5,1:18:00,11:27:00,5,NK1361,NK,Spirit Airlines,18428,,
282,,,10:09:00,4,1:18:00,11:27:00,4,NK1361,NK,Spirit Airlines,18428,,
283,,,21:51:00,0,1:24:00,23:15:00,0,F92001,F9,Frontier Airlines,18465,,
284,,,21:08:00,2,1:24:00,22:32:00,2,F92001,F9,Frontier Airlines,18465,,
